Year,Tonnes - live weight,Country
1998,19176,Faroe Islands
1998,107066,Chile
1998,49475,Canada
1998,7069,Australia
1999,17739,United States of America
1999,126686,United Kingdom
1999,0,Türkiye
1999,0,Sweden
1999,618,Spain
1999,5,Russian Federation
1999,425154,Norway
1999,0,"Korea, Dem. People's Rep"
1999,18076,Ireland
1999,2900,Iceland
1999,9,Greece
1999,750,France
1999,0,Finland
1999,39252,Faroe Islands
1999,103242,Chile
1999,61990,Canada
1999,9195,Australia
2000,22395,United States of America
2000,128959,United Kingdom
2000,0,Türkiye
2000,0,Sweden
2000,226,Spain
2000,0,Russian Federation
2000,440061,Norway
2000,0,"Korea, Dem. People's Rep"
2000,17648,Ireland
2000,2593,Iceland
2000,17,Greece
2000,102,France
2000,0,Finland
2000,33508,Faroe Islands
2000,166897,Chile
2000,72495,Canada
2000,10907,Australia
2001,20769,United States of America
2001,138519,United Kingdom
2001,0,Türkiye
2001,0,Sweden
2001,323,Spain
2001,0,Russian Federation
2001,436103,Norway
2001,0,"Korea, Dem. People's Rep"
2001,23312,Ireland
2001,2645,Iceland
2001,23,Greece
2001,90,France
2001,0,Finland
2001,46041,Faroe Islands
2001,253850,Chile
2001,95606,Canada
2001,12724,Australia
2002,12734,United States of America
2002,145609,United Kingdom
2002,0,Türkiye
2002,0,Sweden
2002,152,Spain
2002,0,Russian Federation
2002,462495,Norway
2002,0,"Korea, Dem. People's Rep"
2002,23231,Ireland
2002,1471,Iceland
2002,28,Greece
2002,443,France
2002,0,Finland
2002,44953,Faroe Islands
2002,15,Denmark
2002,265726,Chile
2002,114921,Canada
2002,14356,Australia
2003,16315,United States of America
2003,145609,United Kingdom
2003,0,Türkiye
2003,0,Sweden
2003,27,Spain
2003,300,Russian Federation
2003,509544,Norway
2003,0,"Korea, Dem. People's Rep"
2003,16347,Ireland
2003,3708,Iceland
2003,9,Greece
2003,544,France
2003,0,Finland
2003,52526,Faroe Islands
2003,16,Denmark
2003,280301,Chile
2003,107228,Canada
2003,15208,Australia
2004,15127,United States of America
2004,158099,United Kingdom
2004,0,Türkiye
2004,0,Sweden
2004,15,Spain
2004,203,Russian Federation
2004,563815,Norway
2004,0,"Korea, Dem. People's Rep"
2004,14067,Ireland
2004,6624,Iceland
2004,7,Greece
2004,735,France
2004,0,Finland
2004,40985,Faroe Islands
2004,16,Denmark
2004,348983,Chile
2004,96774,Canada
2004,16476,Australia
2005,9401,United States of America
2005,129823,United Kingdom
2005,0,Türkiye
2005,0,Sweden
2005,0,Spain
2005,204,Russian Federation
2005,586512,Norway
2005,0,"Korea, Dem. People's Rep"
2005,13764,Ireland
2005,6488,Iceland
2005,6,Greece
2005,1190,France
2005,0,Finland
2005,18962,Faroe Islands
2005,18,Denmark
2005,385779,Chile
2005,98370,Canada
2005,16780,Australia
2006,10485,United States of America
2006,131973,United Kingdom
2006,0,Türkiye
2006,0,Sweden
2006,2,Spain
2006,229,Russian Federation
2006,629888,Norway
2006,0,"Korea, Dem. People's Rep"
2006,11174,Ireland
2006,5224,Iceland
2006,11,Greece
2006,1391,France
2006,0,Finland
2006,13078,Faroe Islands
2006,18,Denmark
2006,376476,Chile
2006,118061,Canada
2006,20710,Australia
2007,11001,United States of America
2007,130104,United Kingdom
2007,0,Türkiye
2007,0,Sweden
2007,0,Spain
2007,111,Russian Federation
2007,744222,Norway
2007,0,"Korea, Dem. People's Rep"
2007,9923,Ireland
2007,1197,Iceland
2007,8,Greece
2007,1100,France
2007,0,Finland
2007,22305,Faroe Islands
2007,16,Denmark
2007,331042,Chile
2007,102509,Canada
2007,25336,Australia
2008,16714,United States of America
2008,128744,United Kingdom
2008,0,Türkiye
2008,10,Sweden
2008,0,Spain
2008,51,Russian Federation
2008,737694,Norway
2008,9217,Ireland
2008,330,Iceland
2008,8,Greece
2008,1335,France
2008,0,Finland
2008,38494,Faroe Islands
2008,11,Denmark
2008,388847,Chile
2008,104075,Canada
2008,"25736,9",Australia
2009,14074,United States of America
2009,144663,United Kingdom
2009,0,Türkiye
2009,0,Sweden
2009,110,Spain
2009,2126,Russian Federation
2009,"862907,7",Norway
2009,10,"Korea, Dem. People's Rep"
2009,12210,Ireland
2009,714,Iceland
2009,22,Greece
2009,0,Finland
2009,51383,Faroe Islands
2009,"1,9",Denmark
2009,233308,Chile
2009,100212,Canada
2009,"0,33",Bulgaria
2009,29893,Australia
2010,19535,United States of America
2010,154633,United Kingdom
2010,0,Türkiye
2010,0,Sweden
2010,"79,2",Spain
2010,4500,Russian Federation
2010,939536,Norway
2010,10,"Korea, Dem. People's Rep"
2010,15691,Ireland
2010,1068,Iceland
2010,10,Greece
2010,0,Finland
2010,45391,Faroe Islands
2010,15,Denmark
2010,123233,Chile
2010,101544,Canada
2010,"31806,79",Australia
2011,18595,United States of America
2011,"158309,5",United Kingdom
2011,0,Türkiye
2011,0,Sweden
2011,0,Spain
2011,8500,Russian Federation
2011,1064868,Norway
2011,15,"Korea, Dem. People's Rep"
2011,12196,Ireland
2011,1083,Iceland
2011,0,Greece
2011,0,Finland
2011,60473,Faroe Islands
2011,10,Denmark
2011,264349,Chile
2011,110328,Canada
2011,"36662,04",Australia
2012,19295,United States of America
2012,162547,United Kingdom
2012,0,Türkiye
2012,0,Sweden
2012,4,Spain
2012,8754,Russian Federation
2012,"1232094,9",Norway
2012,15,"Korea, Dem. People's Rep"
2012,12440,Ireland
2012,2923,Iceland
2012,0,Greece
2012,0,Finland
2012,76564,Faroe Islands
2012,"0,2",Denmark
2012,399678,Chile
2012,116101,Canada
2012,43982,Australia
2013,18866,United States of America
2013,163240,United Kingdom
2013,0,Türkiye
2013,6,Sweden
2013,0,Spain
2013,22500,Russian Federation
2013,1168324,Norway
2013,15,"Korea, Dem. People's Rep"
2013,"9124,9",Ireland
2013,3018,Iceland
2013,0,Greece
2013,0,Finland
2013,75821,Faroe Islands
2013,10,Denmark
2013,492329,Chile
2013,97629,Canada
2013,"42825,01",Australia
2014,18719,United States of America
2014,179028,United Kingdom
2014,8,Sweden
2014,"3,8",Spain
2014,18675,Russian Federation
2014,"1258355,9",Norway
2014,20,"Korea, Dem. People's Rep"
2014,"9367,6",Ireland
2014,3965,Iceland
2014,0,Greece
2014,0,Finland
2014,86454,Faroe Islands
2014,405,Denmark
2014,644459,Chile
2014,86347,Canada
2014,"41590,66",Australia
2015,18719,United States of America
2015,171731,United Kingdom
2015,"7,785",Spain
2015,10834,Russian Federation
2015,"1303345,8",Norway
2015,20,"Korea, Dem. People's Rep"
2015,13116,Ireland
2015,3260,Iceland
2015,0,Greece
2015,0,Finland
2015,80600,Faroe Islands
2015,428,Denmark
2015,608546,Chile
2015,121926,Canada
2015,"48330,56",Australia
2016,16185,United States of America
2016,162820,United Kingdom
2016,1,Sweden
2016,"5,162",Spain
2016,12857,Russian Federation
2016,"1233619,2",Norway
2016,20,"Korea, Dem. People's Rep"
2016,16300,Ireland
2016,8420,Iceland
2016,0,Greece
2016,0,Finland
2016,83300,Faroe Islands
2016,1289,Denmark
2016,532225,Chile
2016,123522,Canada
2016,"56115,197",Australia
2017,14685,United States of America
2017,189707,United Kingdom
2017,"24,39",Spain
2017,13016,Russian Federation
2017,1236353,Norway
2017,50,"Korea, Dem. People's Rep"
2017,18342,Ireland
2017,11265,Iceland
2017,0,Greece
2017,0,Finland
2017,86800,Faroe Islands
2017,807,Denmark
2017,"614180,46",Chile
2017,120553,Canada
2017,"52580,2",Australia
2018,16107,United States of America
2018,156025,United Kingdom
2018,100,Switzerland
2018,20566,Russian Federation
2018,"1282003,2",Norway
2018,60,"Korea, Dem. People's Rep"
2018,11984,Ireland
2018,13448,Iceland
2018,0,Finland
2018,78900,Faroe Islands
2018,1030,Denmark
2018,"661138,39",Chile
2018,123184,Canada
2018,61227,Australia
2019,"16490,52",United States of America
2019,203881,United Kingdom
2019,"159,4",Switzerland
2019,"11,606",Spain
2019,32343,Russian Federation
2019,"1364042,038",Norway
2019,60,"Korea, Dem. People's Rep"
2019,11333,Ireland
2019,26957,Iceland
2019,0,Finland
2019,95000,Faroe Islands
2019,"1462,53",Denmark
2019,701984,Chile
2019,118630,Canada
2019,"56989,34",Australia
2020,"16490,52",United States of America
2020,192129,United Kingdom
2020,300,United Arab Emirates
2020,"159,4",Switzerland
2020,10855,Russian Federation
2020,"1388433,84",Norway
2020,60,"Korea, Dem. People's Rep"
2020,12870,Ireland
2020,34341,Iceland
2020,88950,Faroe Islands
2020,1940,Denmark
2020,787131,Chile
2020,120427,Canada
2020,"66918,495",Australia
2021,"16490,52",United States of America
2021,205000,United Kingdom
2021,180,United Arab Emirates
2021,160,Switzerland
2021,14959,Russian Federation
2021,"1562415,01",Norway
2021,60,"Korea, Dem. People's Rep"
2021,12844,Ireland
2021,46458,Iceland
2021,115650,Faroe Islands
2021,1668,Denmark
2021,725280,Chile
2021,120186,Canada
2021,"84045,234",Australia
